example_key,drug_set,condition_id_norm,source_label_binary,source_file,drug_labels,condition_label,mechanism_category,mechanism_confidence,needs_human_review,rationale_short,llm_model,prompt_version,classified_at_utc
CHEBI:27594|CHEBI:81916|DRUGBANK:DB14016||MONDO:0005281,"['CHEBI:27594', 'CHEBI:81916', 'DRUGBANK:DB14016']",MONDO:0005281,1,indications,"['Ox bile extract', 'Pancrelipase', 'Graphite']",gallbladder disorder,mechanistically_synergistic,0.65,True,"Ox bile extract supplies bile acids for fat emulsification and pancrelipase supplies pancreatic enzymes for fat digestion—complementary actions on digestive processes relevant to gallbladder dysfunction. Graphite’s role is unclear/likely nonpharmacologic, so human review recommended.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
UNII:JSV288Q5CV|UNII:JSV288Q5CV||MONDO:0100130,"['UNII:JSV288Q5CV', 'UNII:JSV288Q5CV']",MONDO:0100130,1,indications,"['Famtozinameran', 'Famtozinameran']",adult acute respiratory distress syndrome,other,0.6,True,Both entries are the same drug (duplicate); famtozinameran is a vaccine not a known ARDS therapeutic and duplicate listing suggests a data artifact or ambiguous indication rather than a mechanistic combination.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
DRUGBANK:DB15654|DRUGBANK:DB17091||MONDO:0100130,"['DRUGBANK:DB15654', 'DRUGBANK:DB17091']",MONDO:0100130,1,indications,"['Davesomeran', 'Moderna COVID-19 Vaccine']",adult acute respiratory distress syndrome,other,0.56,True,Both entries are formulations/names of the Moderna COVID-19 vaccine; vaccination prevents SARS-CoV-2 infection (a cause of ARDS) but does not represent a mechanistic combination therapy for treating adult ARDS. Indication mapping is ambiguous.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:31206|CHEBI:52010|CHEBI:5551||MONDO:0025598,"['CHEBI:31206', 'CHEBI:52010', 'CHEBI:5551']",MONDO:0025598,1,indications,"['chlorphenamine', 'Guaifenesin', 'Ammonium chloride']",pneumonia caused by chlamydia,mechanistically_synergistic,0.82,False,Guaifenesin and ammonium chloride are expectorants/mucolytics and chlorphenamine is an antihistamine; together they act on respiratory secretions and symptomatic pathways to improve mucus clearance and reduce secretions in pneumonia rather than treating the infection itself.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:28177|CHEBI:28939||MONDO:0002155,"['CHEBI:28177', 'CHEBI:28939']",MONDO:0002155,1,indications,"['Theophylline', 'Acetylcysteine']",cholecystitis,other,0.35,True,"Neither theophylline nor acetylcysteine has an established mechanism for treating cholecystitis; both are primarily respiratory/mucolytic agents, so linkage to cholecystitis is unclear from provided data.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:31498|CHEBI:81916||CHEBI:25805,"['CHEBI:31498', 'CHEBI:81916']",CHEBI:25805,1,indications,"['Dimethicone', 'Pancrelipase']",Oxygen,common_comorbidity,0.7,True,Dimethicone (anti-foaming/gas relief) and pancrelipase (pancreatic enzyme replacement) treat different GI problems and do not jointly target oxygen; likely co-prescribed for co-occurring conditions rather than mechanistic synergy.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:46859|CHEBI:6456|UNII:FGL3685T2X||MONDO:0025598,"['CHEBI:46859', 'CHEBI:6456', 'UNII:FGL3685T2X']",MONDO:0025598,1,indications,"['Polidocanol', 'Chamomile', 'Lidocaine']",pneumonia caused by chlamydia,other,0.35,True,"Polidocanol (sclerosing agent), chamomile (herbal remedy), and lidocaine (local anesthetic) do not target Chlamydia pneumoniae infection; regimen does not represent clear antimicrobial synergy or documented side-effect mitigation—intent unclear.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:26710|CHEBI:32139|CHEBI:32588||MONDO:0000440,"['CHEBI:26710', 'CHEBI:32139', 'CHEBI:32588']",MONDO:0000440,1,indications,"['Sodium chloride', 'Potassium chloride', 'Sodium bicarbonate']",metabolic acidosis,mechanistically_synergistic,0.85,False,Sodium bicarbonate replaces base to correct acidosis while sodium chloride and potassium chloride provide fluid/electrolyte replacement and correct chloride/potassium deficits that accompany and influence acid–base status; together they address complementary pathways in treating metabolic acidosis.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:3510|CHEBI:48947||UMLS:C0041912,"['CHEBI:3510', 'CHEBI:48947']",UMLS:C0041912,1,indications,"['Ceftibuten', 'Clavulanic acid']",Upper Respiratory Infections,mechanistically_synergistic,0.88,False,"Clavulanic acid is a β-lactamase inhibitor that protects the β-lactam antibiotic ceftibuten from enzymatic degradation, enhancing antimicrobial activity against pathogens causing upper respiratory infections.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:31498|CHEBI:31498|CHEBI:81916||NCIT:C34887,"['CHEBI:31498', 'CHEBI:31498', 'CHEBI:81916']",NCIT:C34887,1,indications,"['Pancrelipase', 'Dimethicone', 'Dimethicone']",Post-Operative Pain,other,0.3,True,Pancrelipase (pancreatic enzyme) and dimethicone (anti-foaming/skin protectant) do not have clear mechanistic synergy for treating post-operative pain; combination appears unrelated or misassigned. Insufficient evidence to classify as comorbidity or side-effect relief.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:26710|CHEBI:32588|CHEBI:34683|CHEBI:34683|CHEBI:78320||MONDO:0000440,"['CHEBI:26710', 'CHEBI:32588', 'CHEBI:34683', 'CHEBI:34683', 'CHEBI:78320']",MONDO:0000440,1,indications,"['Sodium phosphate, dibasic', 'Potassium chloride', 'Sodium chloride', 'Lactic acid', 'Sodium phosphate, dibasic']",metabolic acidosis,mechanistically_synergistic,0.88,False,"These agents are components of electrolyte/IV fluid therapy (Na+/K+ salts, phosphate, lactate) that collectively correct acid–base and electrolyte disturbances—lactate serves as a bicarbonate precursor and phosphates/buffers restore buffering capacity, synergistically treating metabolic acidosis.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:3183|CHEBI:46195|CHEBI:5551|CHEBI:77032|CHEBI:8093||MONDO:0005709,"['CHEBI:3183', 'CHEBI:46195', 'CHEBI:5551', 'CHEBI:77032', 'CHEBI:8093']",MONDO:0005709,1,indications,"['Acetaminophen', 'Brompheniramine', 'Bromhexine', 'Phenylephrine', 'Guaifenesin']",common cold,mechanistically_synergistic,0.9,False,"Combination contains analgesic/antipyretic (acetaminophen), antihistamine (brompheniramine), decongestant (phenylephrine), mucolytic/expectorants (bromhexine, guaifenesin) that target different symptoms/pathways of common cold for complementary symptomatic relief.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:52010|CHEBI:81717||MONDO:0005709,"['CHEBI:52010', 'CHEBI:81717']",MONDO:0005709,1,indications,"['chlorphenamine', 'Calcium levulinate']",common cold,other,0.35,True,Chlorphenamine is an antihistamine used for cold symptoms; Calcium levulinate has no well-established antiviral or symptom-targeting role in common cold. No clear mechanistic synergy or side-effect mitigation; insufficient information.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:4470|CHEBI:5551|PUBCHEM.COMPOUND:4786||MONDO:0005709,"['CHEBI:4470', 'CHEBI:5551', 'PUBCHEM.COMPOUND:4786']",MONDO:0005709,1,indications,"['Guaifenesin', 'Phenylpropanolamine', 'Dextromethorphan']",common cold,mechanistically_synergistic,0.9,False,"Guaifenesin (expectorant), phenylpropanolamine (decongestant) and dextromethorphan (antitussive) act on different symptomatic pathways of the common cold, providing complementary symptomatic relief.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:52010|PUBCHEM.COMPOUND:4786||MONDO:0005709,"['CHEBI:52010', 'PUBCHEM.COMPOUND:4786']",MONDO:0005709,1,indications,"['chlorphenamine', 'Phenylpropanolamine']",common cold,mechanistically_synergistic,0.9,False,Chlorphenamine (antihistamine) and phenylpropanolamine (sympathomimetic decongestant) act on complementary pathways to relieve different common cold symptoms (rhinorrhea/sneezing vs nasal congestion).,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:4470|CHEBI:5551|CHEBI:8093||MONDO:0005709,"['CHEBI:4470', 'CHEBI:5551', 'CHEBI:8093']",MONDO:0005709,1,indications,"['Phenylephrine', 'Guaifenesin', 'Dextromethorphan']",common cold,mechanistically_synergistic,0.9,False,"Drugs provide complementary symptomatic actions for common cold: phenylephrine (nasal decongestant), guaifenesin (expectorant to loosen mucus), dextromethorphan (antitussive), targeting different pathways to improve overall respiratory symptoms.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:15409|CHEBI:8378|UNII:5EL163606Q|UNII:NQ14646378||MONDO:0004872,"['CHEBI:15409', 'CHEBI:8378', 'UNII:5EL163606Q', 'UNII:NQ14646378']",MONDO:0004872,1,indications,"['Prednisolone', 'Ichthammol', 'Carvasept', 'Levomenthol']",hemorrhoid,mechanistically_synergistic,0.87,False,"Prednisolone (anti-inflammatory) combined with ichthammol (topical anti-inflammatory/antiseptic), carvasept (antiseptic) and levomenthol (local analgesic/cooling) provide complementary topical actions addressing inflammation, pain and infection in hemorrhoids.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:31498|CHEBI:4514||MONDO:0005725,"['CHEBI:31498', 'CHEBI:4514']",MONDO:0005725,1,indications,"['Dicyclomine', 'Dimethicone']",cyclosporiasis,mechanistically_synergistic,0.82,False,Dicyclomine (antispasmodic) and dimethicone (anti-foaming/gas relief) provide complementary symptomatic relief of gastrointestinal symptoms in cyclosporiasis via different mechanisms rather than treating the underlying infection.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:18332|CHEBI:8346||MONDO:0002108,"['CHEBI:18332', 'CHEBI:8346']",MONDO:0002108,1,indications,"['Potassium Iodide', 'Levothyroxine']",thyroid cancer,other,0.25,True,Levothyroxine is used for TSH suppression/replacement in thyroid cancer; potassium iodide is typically used to block iodine uptake or reduce thyroid vascularity in hyperthyroidism/iodine exposure. Their combined role in thyroid cancer is not a clear mechanistic synergy and is context-dependent/uncertain.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:31498|CHEBI:4514||MONDO:0005725,"['CHEBI:31498', 'CHEBI:4514']",MONDO:0005725,1,indications,"['Dimethicone', 'Dicyclomine']",cyclosporiasis,mechanistically_synergistic,0.82,False,Dicyclomine (antispasmodic) and dimethicone (anti-foaming/gas relief) provide complementary symptomatic relief of gastrointestinal symptoms in cyclosporiasis via different mechanisms rather than treating the underlying infection.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:46195|CHEBI:51209||UMLS:C0264222,"['CHEBI:46195', 'CHEBI:51209']",UMLS:C0264222,1,indications,"['Acetaminophen', 'Pseudoephedrine']",Acute upper respiratory infection,mechanistically_synergistic,0.9,False,"Acetaminophen (antipyretic/analgesic) and pseudoephedrine (nasal decongestant) relieve complementary symptoms of acute upper respiratory infection via different mechanisms, providing combined symptomatic benefit.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:30769|CHEBI:4470|CHEBI:4636||MONDO:0005271,"['CHEBI:30769', 'CHEBI:4470', 'CHEBI:4636']",MONDO:0005271,1,indications,"['Citric acid', 'Diphenhydramine', 'Dextromethorphan']",Allergy,mechanistically_synergistic,0.75,False,"Diphenhydramine is an antihistamine treating allergic symptoms; dextromethorphan is an antitussive addressing cough, a common symptom of allergy; citric acid is likely an excipient/flavoring. Drugs target different symptomatic pathways of the same disease.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:32219|CHEBI:4470|CHEBI:8093||MONDO:0005271,"['CHEBI:32219', 'CHEBI:4470', 'CHEBI:8093']",MONDO:0005271,1,indications,"['Thonzylamine hydrochloride', 'Dextromethorphan', 'Phenylephrine']",Allergy,mechanistically_synergistic,0.85,False,"Thonzylamine (antihistamine), phenylephrine (decongestant), and dextromethorphan (antitussive) are combined to relieve multiple allergy/upper respiratory symptoms via complementary mechanisms targeting different symptom pathways.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:22652|CHEBI:3183||MONDO:0005271,"['CHEBI:22652', 'CHEBI:3183']",MONDO:0005271,1,indications,"['Brompheniramine', 'Ascorbic acid']",Allergy,mechanistically_synergistic,0.6,True,"Brompheniramine is an H1-antihistamine directly treating allergic symptoms; ascorbic acid (vitamin C) can modestly reduce histamine levels and modulate immune/inflammatory responses, so the two may act on complementary pathways to reduce allergy symptoms.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:36773|UNII:2R04ONI662||UMLS:C0281856,"['CHEBI:36773', 'UNII:2R04ONI662']",UMLS:C0281856,1,indications,"['Eucalyptus oil', 'camphor']",Generalized aches and pains,mechanistically_synergistic,0.85,False,Eucalyptus oil and camphor are commonly combined topical agents for musculoskeletal pain; both provide analgesic/counterirritant effects (plus mild anti-inflammatory and penetration-enhancing actions) that complement each other to reduce generalized aches and pains.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:62984|CHEBI:8357||NCIT:C121616,"['CHEBI:62984', 'CHEBI:8357']",NCIT:C121616,1,indications,"['Zinc acetate', 'Pramocaine']",Wound Discharge,other,0.35,True,Zinc acetate is an astringent/antiseptic that may reduce wound exudate; pramocaine is a topical local anesthetic for symptom relief. This appears symptomatic/palliative rather than mechanistic synergy or one drug mitigating side effects of the other; evidence is insufficient to classify confidently.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:83766|UNII:2S9ZZM9Q9V||UMLS:C0863127,"['CHEBI:83766', 'UNII:2S9ZZM9Q9V']",UMLS:C0863127,1,indications,"['Olaparib', 'Bevacizumab']",Chemotherapy-Related Leukemia,other,0.35,True,"Olaparib (PARP inhibitor) and bevacizumab (anti-VEGF) act on DNA repair and angiogenesis respectively; this pairing is used in some solid tumors but there is no clear, established mechanistic synergy for chemotherapy-related (therapy-related) leukemia—insufficient evidence to classify as synergistic or comorbidity-related.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:16684|CHEBI:251408||HP:0002791,"['CHEBI:16684', 'CHEBI:251408']",HP:0002791,1,indications,"['Edrophonium', 'Atropine']",Hypoventilation,side_effect_relief,0.9,False,Edrophonium (AChE inhibitor) can improve respiratory muscle strength to relieve hypoventilation; atropine is co-administered to block muscarinic side effects of edrophonium rather than provide an independent therapeutic mechanism for hypoventilation.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:16709|CHEBI:51380||HP:0002018,"['CHEBI:16709', 'CHEBI:51380']",HP:0002018,1,indications,"['Doxylamine', 'Pyridoxine']",Nausea,mechanistically_synergistic,0.9,False,"Doxylamine (H1 antihistamine antiemetic) plus pyridoxine (vitamin B6) is a standard complementary combination (e.g., Diclegis) used to treat nausea/vomiting, acting via different but additive mechanisms.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:41879|CHEBI:7507|CHEBI:8310||UMLS:C0015404,"['CHEBI:41879', 'CHEBI:7507', 'CHEBI:8310']",UMLS:C0015404,1,indications,"['Dexamethasone', 'Framycetin', 'Polymyxin B']","Eye Infections, Bacterial",mechanistically_synergistic,0.9,False,"Topical antibiotics (framycetin, polymyxin B) target and kill bacterial pathogens while dexamethasone suppresses host inflammation—complementary mechanisms addressing infection and inflammatory damage in bacterial eye infections.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:2668|CHEBI:38545||UMLS:C0522060,"['CHEBI:2668', 'CHEBI:38545']",UMLS:C0522060,1,indications,"['Amlodipine', 'Rosuvastatin']",Inadequate food diet,common_comorbidity,0.85,False,Amlodipine (antihypertensive) and rosuvastatin (lipid-lowering) act on different cardiovascular risk factors and are commonly co-prescribed for comorbid hypertension/hyperlipidemia rather than jointly treating ‘inadequate food diet’.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:85994|UNII:DPT0O3T46P||NCIT:C137827,"['CHEBI:85994', 'UNII:DPT0O3T46P']",NCIT:C137827,1,indications,"['Lenvatinib', 'Pembrolizumab']",Mismatch Repair Protein Deficiency,mechanistically_synergistic,0.9,False,Pembrolizumab (anti-PD-1) restores anti-tumor immunity in MMR-deficient tumors; lenvatinib (multi-kinase/anti-angiogenic) modulates the tumor microenvironment and can enhance immunotherapy efficacy — complementary mechanisms with documented synergistic activity.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:3508|CHEBI:6909|CHEBI:85982||MONDO:0018944,"['CHEBI:3508', 'CHEBI:6909', 'CHEBI:85982']",MONDO:0018944,1,indications,"['Metronidazole', 'Ceftazidime', 'avibactam sodium']",gestational trophoblastic neoplasm,common_comorbidity,0.82,False,"Metronidazole + ceftazidime/avibactam are antibiotics used to treat bacterial infections or surgical prophylaxis, not anti-neoplastic agents for gestational trophoblastic neoplasms; likely used for infection management rather than tumor-directed therapy.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
DRUGBANK:DB00028|PUBCHEM.COMPOUND:91820602||HP:0005363,"['DRUGBANK:DB00028', 'PUBCHEM.COMPOUND:91820602']",HP:0005363,1,indications,"['Human immunoglobulin G', 'Hyaluronidase']",Humoral immunodeficiency,side_effect_relief,0.9,False,"Hyaluronidase is used to increase tissue permeability/absorption and enable subcutaneous delivery of human IgG for replacement therapy in humoral immunodeficiency, supporting administration rather than directly treating the disease.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:177836|CHEBI:27375|CHEBI:28748|UNII:7XL5ISS668||UMLS:C0855068,"['CHEBI:177836', 'CHEBI:27375', 'CHEBI:28748', 'UNII:7XL5ISS668']",UMLS:C0855068,1,indications,"['Adcetris', 'Doxorubicin', 'Vinblastine', 'Dacarbazine']",Rhabdomyosarcoma previously untreated,mechanistically_synergistic,0.85,False,"This is a multi-agent chemotherapy regimen combining drugs with distinct anti-cancer mechanisms (antibody–drug conjugate targeting CD30, microtubule inhibitor, topoisomerase II inhibitor, and an alkylating agent) to enhance antitumor efficacy in rhabdomyosarcoma.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:5778|CHEBI:9241||NCIT:C162704,"['CHEBI:5778', 'CHEBI:9241']",NCIT:C162704,1,indications,"['Hydrochlorothiazide', 'Spironolactone']",No Response to Treatment,mechanistically_synergistic,0.85,False,"Hydrochlorothiazide (thiazide diuretic) and spironolactone (aldosterone antagonist/potassium‑sparing diuretic) have complementary mechanisms that enhance natriuresis and reduce blood pressure; spironolactone can overcome aldosterone‑mediated sodium retention and thiazide resistance, producing a synergistic effect for refractory/resistant cases.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:133021|CHEBI:76612||UMLS:C5395609,"['CHEBI:133021', 'CHEBI:76612']",UMLS:C5395609,1,indications,"['Ibrutinib', 'Venetoclax']",Treatment naive,mechanistically_synergistic,0.92,False,"Ibrutinib (BTK inhibitor) and venetoclax (BCL-2 inhibitor) target complementary survival/signaling pathways in B-cell malignancies (e.g., CLL), producing synergistic anti-leukemic effects in treatment-naive patients.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:8232|CHEBI:9421||UMLS:C0694549,"['CHEBI:8232', 'CHEBI:9421']",UMLS:C0694549,1,indications,"['Piperacillin', 'Tazobactam']",Community-Acquired Pneumonia,mechanistically_synergistic,0.95,False,"Tazobactam is a β-lactamase inhibitor that protects piperacillin from enzymatic degradation, enhancing its antibacterial activity against β-lactamase–producing pathogens in pneumonia.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:41423|CHEBI:75722||UniProtKB:A0A8D0SEZ5,"['CHEBI:41423', 'CHEBI:75722']",UniProtKB:A0A8D0SEZ5,1,indications,"['Celecoxib', 'Tramadol']",A0A8D0SEZ5_PIG NOVA alternative splicing regulator 1 (trembl),other,0.25,True,"Condition maps to a UniProtKB protein (PIG NOVA alternative splicing regulator 1), not a clinical disease. Celecoxib+tramadol are commonly used together for multimodal analgesia (mechanistic synergy), but the disease mapping appears erroneous—human review needed.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:66964|CHEBI:69478||UMLS:C0278139,"['CHEBI:66964', 'CHEBI:69478']",UMLS:C0278139,1,indications,"['Cannabidiol', 'Dronabinol']",Moderate pain,mechanistically_synergistic,0.85,False,Both drugs are cannabinoids with complementary actions on endocannabinoid-related pathways—dronabinol (THC) is a CB1 agonist providing analgesia while cannabidiol modulates cannabinoid signaling/inflammation and can potentiate analgesic effects—supporting synergistic impact for pain.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:3485|CHEBI:48947||MONDO:0021201,"['CHEBI:3485', 'CHEBI:48947']",MONDO:0021201,1,indications,"['Cefdinir', 'Clavulanic acid']",skin infection,mechanistically_synergistic,0.8,False,"Clavulanic acid is a beta-lactamase inhibitor that can protect beta-lactam antibiotics like cefdinir from enzymatic degradation, thereby expanding/strengthening antibacterial activity against skin infection pathogens.",gpt-5-mini,v1,2026-02-21T21:19:59+00:00
CHEBI:3614|CHEBI:5130||UMLS:C0852882,"['CHEBI:3614', 'CHEBI:5130']",UMLS:C0852882,1,indications,"['Chlorhexidine', 'Flurbiprofen']",Radiation mucositis,mechanistically_synergistic,0.85,False,Chlorhexidine is a topical antiseptic that reduces microbial colonization/infection of mucosal ulcers; flurbiprofen is an NSAID/analgesic that reduces inflammation and pain. They act on complementary mechanisms to treat radiation mucositis.,gpt-5-mini,v1,2026-02-21T21:19:59+00:00
